time,year,month,day,hour,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,power_44008
2018-07-13 14:00:00,2018.0,7.0,13.0,14.0,0.93,9.09,6.1,154.0,1024.4,18.0,18.3,2.57991021
2018-07-13 15:00:00,2018.0,7.0,13.0,15.0,0.84,9.09,5.41,136.0,1024.0,18.2,18.3,1.8666577439999998
2018-07-13 16:00:00,2018.0,7.0,13.0,16.0,0.84,8.33,5.09,131.0,1023.7,18.2,18.4,1.7562454559999998
2018-07-13 17:00:00,2018.0,7.0,13.0,17.0,0.94,9.09,5.16,117.0,1023.7,18.3,18.5,2.229534864
2018-07-13 18:00:00,2018.0,7.0,13.0,18.0,0.95,7.69,5.28,124.0,1023.5,18.2,18.5,2.3301827999999998
2018-07-13 19:00:00,2018.0,7.0,13.0,19.0,0.92,7.69,5.49,118.0,1023.1,18.3,18.7,2.2722539040000003
2018-07-13 20:00:00,2018.0,7.0,13.0,20.0,0.98,9.09,5.72,119.0,1023.1,18.5,18.9,2.6863156319999995
2018-07-13 21:00:00,2018.0,7.0,13.0,21.0,1.07,8.33,5.86,129.0,1022.7,18.2,19.0,3.280756746
2018-07-13 22:00:00,2018.0,7.0,13.0,22.0,0.95,7.69,5.39,118.0,1022.7,18.2,19.0,2.3787282749999994
2018-07-13 23:00:00,2018.0,7.0,13.0,23.0,1.02,7.69,5.68,117.0,1022.7,17.9,18.8,2.8897318079999996
2018-07-14 01:00:00,2018.0,7.0,14.0,1.0,0.89,8.33,5.6,77.0,1022.9,17.3,18.5,2.1690866399999997
2018-07-14 02:00:00,2018.0,7.0,14.0,2.0,0.92,7.69,5.86,108.0,1022.7,17.1,18.6,2.4253930560000003
2018-07-14 03:00:00,2018.0,7.0,14.0,3.0,0.84,7.69,5.91,106.0,1022.7,17.2,18.6,2.039176944
2018-07-14 04:00:00,2018.0,7.0,14.0,4.0,0.88,7.69,6.07,108.0,1021.9,17.0,18.3,2.298597312
2018-07-14 05:00:00,2018.0,7.0,14.0,5.0,0.87,7.14,6.03,98.0,1021.3,16.9,18.4,2.2318483230000004
2018-07-14 06:00:00,2018.0,7.0,14.0,6.0,0.83,7.14,6.14,86.0,1021.2,16.9,18.3,2.0683946939999998
2018-07-14 07:00:00,2018.0,7.0,14.0,7.0,0.85,7.14,5.99,68.0,1021.2,16.6,18.4,2.1162819749999997
2018-07-14 08:00:00,2018.0,7.0,14.0,8.0,0.87,12.9,5.43,103.0,1021.1,15.5,18.5,2.009773863
2018-07-14 09:00:00,2018.0,7.0,14.0,9.0,0.83,6.25,5.04,79.0,1021.4,15.6,18.4,1.6978353839999998
2018-07-14 10:00:00,2018.0,7.0,14.0,10.0,0.82,8.33,5.35,148.0,1021.6,16.0,18.2,1.7590992599999995
2018-07-14 11:00:00,2018.0,7.0,14.0,11.0,0.86,12.12,5.41,123.0,1021.2,16.5,18.2,1.9566044039999997
2018-07-14 13:00:00,2018.0,7.0,14.0,13.0,0.86,11.43,5.13,126.0,1020.6,17.1,17.8,1.8553383719999996
2018-07-14 14:00:00,2018.0,7.0,14.0,14.0,0.81,12.12,5.52,129.0,1020.5,17.6,17.4,1.770997608
2018-07-14 15:00:00,2018.0,7.0,14.0,15.0,0.86,12.12,5.82,135.0,1020.1,17.5,17.6,2.104886808
2018-07-14 16:00:00,2018.0,7.0,14.0,16.0,0.78,12.12,5.5,108.0,1019.8,17.7,17.9,1.6362918000000002
